0,1286,（1L)茉莉蜜茶,0
1,1287,*康师傅1L冰红茶,4.20
2,1288,1.55升怡宝水,3.50
3,1289,7喜 330ml 罐装,2.30
4,1290,AD钙奶,1.80
5,1292,RIO鸡尾酒,13.30
6,1293,RIO鸡尾酒白桃味500ml,9.00
7,1294,RIO鸡尾酒柠檬味330ml,9.00
8,1295,RIO鸡尾酒西柚味330ml,9.00
9,1296,RIO酒 香橙,13.30
10,1297,RIO蓝玫瑰味威士忌鸡尾酒275ml,13.30
11,1298,RIO水蜜桃味白兰地鸡尾酒275ml,13.30
12,1299,RIO紫葡萄味白兰地鸡尾酒275ml,13.30
13,1301,爱夸矿泉水,3.20
14,1303,百事听,2.30
15,1304,百岁山-570ml,3.00
16,1305,谷粒多燕麦牛奶200ml,4.50
17,1306,光明白雪酸牛奶,4.30
18,1310,光明风味发酵乳490ml,9.10
19,1311,光明风味酸牛奶轻巧包180g,3.30
20,1313,光明黑加仑风味酸牛奶180g,3.30
21,1314,光明红枣酸牛奶,4.30
22,1317,光明莫斯利安酸牛奶（110g）,3.50
23,1318,光明轻巧包红枣味,3.30
24,1326,光明优+盒装,0
25,1330,果粒橙1.25L,7.00
26,1332,果粒奶优椰子味-450g,3.80
27,1334,海之言-卡曼橘,4.00
28,1335,海之言-柠檬味,4.00
29,1336,海之言-水蜜桃,0
30,1337,海之言-西柚味,4.00
31,1338,汇源100%橙汁（1L）,14.50
32,1339,汇源100%橙汁（200ml）,4.80
33,1340,汇源100%胡萝卜汁（1L）,14.50
34,1341,汇源100%苹果汁（1L）,14.50
35,1342,汇源100%苹果汁（200ml）,4.80
36,1343,汇源100%葡萄汁（1L）,14.50
37,1344,汇源100%葡萄汁（200ml）,4.80
38,1345,汇源100%桃汁（1L）,14.50
39,1346,汇源100%桃汁（200ml）,4.80
40,1348,激浪,2.90
41,1349,激浪听装,2.30
42,1350,加多宝（听）,3.50
43,1354,佳得乐冰橘味运动饮料,4.00
44,1355,佳得乐冰柠,4.00
45,1356,佳得乐西柚味运动饮料,3.80
46,1357,佳得乐蓝莓,4.00
47,1358,尖叫纤维550ML,3.60
48,1359,尖叫运动550ML（蓝）,3.60
49,1362,康师傅1L绿茶,4.20
50,1363,康师傅1L茉莉清茶,4.20
51,1364,康师傅500ml冰红茶,2.60
52,1365,康师傅500ml劲凉冰红茶,2.60
53,1366,康师傅500ml绿茶,2.60
54,1367,康师傅500ml每日C橙,2.60
55,1368,康师傅500ml每日C水晶葡萄,2.60
56,1370,康师傅500ml茉莉花茶,2.60
57,1371,康师傅500ml茉莉蜜茶,2.60
58,1372,康师傅500ml茉莉清茶,2.60
59,1374,康师傅500ml水蜜桃,2.60
60,1376,康师傅500ml酸梅汤,2.60
61,1378,康师傅冰糖柠檬500ml,2.60
62,1379,康师傅冰糖雪梨500ml,2.60
63,1380,康师傅蜂蜜柚子茶（500ml）,2.60
64,1381,康师傅海晶柠檬500ml,2.60
65,1382,康师傅经典奶茶炼乳味（500ml）,4.00
66,1384,康师傅经典奶茶香浓核桃味,4.00
67,1385,康师傅经典奶茶香浓味（500ml）,4.00
68,1387,康师傅矿泉水,1.20
69,1390,李子园草莓乳饮料450ml,4.30
70,1391,李子园荔枝风味乳饮料450ml,4.30
71,1392,李子园牛奶煮咖啡280ml,0
72,1393,李子园牛奶煮椰子280ml,4.50
73,1394,李子园甜牛奶乳饮料450ml,4.30
74,1397,李子园朱古力乳饮料450ml,4.30
75,1399,立顿英式果茶,3.00
76,1403,脉动青柠味,0
77,1405,脉动菠萝味,3.80
78,1409,脉动芒果口味600ml,3.80
79,1414,美年达,2.80
80,1415,美年达（听）,2.30
81,1416,美年达冰镇西瓜味600ml,2.80
82,1417,美年达橙,2.80
83,1419,美年达蜂蜜柚子味-600ml,2.90
84,1422,美年达葡萄,2.80
85,1424,美之源果粒橙,3.20
86,1425,美之源爽粒葡萄,3.20
87,1432,美汁源果粒奶优菠萝味450g,3.80
88,1434,美汁源果粒奶优草莓味450g,3.80
89,1436,美汁源果粒奶优芒果味-450g,3.80
90,1439,美汁源果粒奶优蜜桃味-450g,3.80
91,1441,美汁源果粒奶优原味450g,3.80
92,1452,康师傅炒面套餐葱油拌面121g,6.60
93,1453,康师傅炒面套餐香辣肉酱拌面121g,6.60
94,1454,康师傅炒面套餐鱼香肉丝炒面121g,6.60
95,1455,康师傅汤大师什锦海鲜面,6.50
96,1457,康师傅红烧牛肉面双享卤蛋王158g,6.00
97,1458,康师傅老坛酸菜牛肉面双享卤蛋王,6.00
98,1459,康师傅香辣牛肉面双享卤蛋王,6.00
99,1460,康师傅超爽桶香辣牛肉面,4.80
100,1461,康师傅干拌面酸菜牛肉面,5.00
101,1462,康师傅干拌面香辣牛肉面,5.00
102,1463,康师傅红烧牛肉干拌面,5.00
103,1464,康师傅超爽桶红烧牛肉面,4.80
104,1465,康师傅超爽桶酸菜牛肉面,4.80
105,1466,康师傅爱鲜大餐精炖排骨面,0
106,1467,康师傅白胡椒肉骨面,5.00
107,1468,康师傅桶面老坛泡椒竹笋鸡面,4.00
108,1470,康师傅桶装黑胡椒牛排面,5.00
109,1471,康师傅桶装酸酸辣辣豚骨面,5.00
110,1472,康师傅桶装泡椒牛肉面,4.30
111,1473,康师傅桶装鲜虾鱼板面,4.00
112,1474,康师傅桶装红烧排骨面,4.00
113,1475,康师傅桶装辣卤牛肉面,4.00
114,1476,康师傅桶装卤香牛肉面,4.00
115,1477,康师傅桶装酸菜牛肉面,4.00
116,1478,康师傅桶装酸辣牛肉面,4.00
117,1479,康师傅桶装西红柿鸡蛋打卤面,4.00
118,1480,康师傅桶装香菇炖鸡面,4.00
119,1481,统一汤达人海鲜拉面,7.50
120,1482,统一汤达人罗宋汤面,7.50
121,1483,统一汤达人日式豚骨拉面,7.50
122,1484,统一汤达人酸辣豚骨面,7.50
123,1485,统一拌面风味豆鼓,5.50
124,1486,统一拌面海鲜风味,5.50
125,1487,统一拌面老坛酸菜,5.50
126,1488,统一都会小馆,5.00
127,1489,统一都会小馆,5.00
128,1490,统一来一桶红烧牛肉面,3.80
129,1491,统一来一桶精炖番茄牛肉面,3.80
130,1492,统一来一桶老坛酸菜牛肉面,3.80
